id,mesto,payroll_F,payroll_L,payroll_ZF,payroll_total,allcsv_F,allcsv_L,allcsv_ZF,allcsv_fte,allcsv_fte_n,diff_F,diff_L,diff_ZF,diff_total
2,"Bratislava, Obchodná",2.14,1.86,0.11,4.11,2.33,1.85,0.13,4.32,0.69,-0.19,0.0,-0.02,-0.21
3,Senec,1.04,0.0,0.71,1.75,1.44,,0.83,2.27,0.27,-0.4,,-0.12,-0.52
5,"Vranov n.T., centrum",0.87,0.81,0.84,2.52,0.39,0.82,1.32,2.53,0.32,0.48,-0.02,-0.48,-0.01
6,"Turzovka, mesto",0.85,1.79,0.79,3.42,0.78,1.61,0.84,3.23,0.69,0.07,0.17,-0.06,0.19
7,"Prešov, 17.novembra",0.84,0.4,0.87,2.11,0.87,0.45,0.9,2.22,0.59,-0.03,-0.06,-0.02,-0.11
9,"Humenné, NsP",1.4,2.28,0.81,4.49,0.91,1.86,1.31,4.08,1.02,0.49,0.42,-0.49,0.41
11,"Rimavská Sobota, Kaufland",1.93,2.81,0.27,5.0,2.24,3.02,0.42,5.68,2.27,-0.31,-0.22,-0.15,-0.68
12,"Michalovce, TESCO",1.39,2.52,0.82,4.73,1.78,2.58,0.83,5.19,1.16,-0.39,-0.05,-0.01,-0.45
13,"Košice, Merkúr",0.78,0.86,0.66,2.29,0.87,0.92,0.66,2.45,0.37,-0.09,-0.06,-0.01,-0.16
14,"Spiš.N.Ves, OC Madaras",2.58,1.55,0.84,4.97,2.7,1.73,0.87,5.3,1.02,-0.12,-0.18,-0.03,-0.32
15,"Humenné, Kaufland",1.83,1.71,0.72,4.27,1.91,1.88,0.74,4.53,0.49,-0.08,-0.16,-0.02,-0.26
16,"Poprad, OC MAX",1.81,1.7,0.27,3.78,1.83,1.82,0.3,3.96,1.24,-0.02,-0.12,-0.03,-0.17
17,"Topoľčany, 17.novembra",1.43,1.59,0.75,3.78,1.38,1.65,0.71,3.75,1.18,0.05,-0.06,0.04,0.03
18,"Partizánske, Prior",0.81,1.63,0.54,2.98,1.26,1.7,0.61,3.57,0.95,-0.45,-0.07,-0.08,-0.59
19,Lipt. Mikuláš,2.4,1.6,0.11,4.1,2.32,1.64,0.11,4.07,0.76,0.07,-0.05,-0.0,0.03
22,"Rimavská Sobota, NsP",1.65,3.01,0.88,5.54,0.05,2.27,0.89,3.21,1.13,1.6,0.74,-0.01,2.33
25,"Michalovce, Kaufland",3.43,2.51,0.86,6.8,3.47,2.55,0.86,6.88,0.82,-0.04,-0.04,-0.01,-0.08
26,"Vranov n.T., NsP",1.34,2.42,0.85,4.61,0.9,2.44,0.87,4.21,1.14,0.44,-0.03,-0.02,0.4
27,"Bratislava, Kaufland Trnavská",1.75,2.54,0.69,4.98,2.12,2.56,0.76,5.44,0.58,-0.37,-0.02,-0.07,-0.46
29,"Nitra, Kaufland",4.17,4.17,0.86,9.2,3.43,4.28,0.87,8.58,2.25,0.74,-0.11,-0.01,0.62
30,"Nové Zámky, OC Aquario",1.52,1.54,0.81,3.86,1.52,1.72,0.81,4.04,0.68,0.01,-0.18,-0.0,-0.18
31,"Košice, Kaufland Popradská",1.65,2.5,0.86,5.0,1.79,2.53,0.9,5.22,0.71,-0.15,-0.03,-0.04,-0.22
32,"Hnúšťa, poliklinika",0.82,1.53,0.74,3.09,0.85,1.5,0.78,3.13,0.74,-0.03,0.03,-0.04,-0.04
33,"Levice, TESCO",2.13,2.49,0.83,5.45,2.49,2.52,0.98,5.98,1.07,-0.36,-0.03,-0.15,-0.54
34,"Púchov, Kaufland",2.25,2.33,0.76,5.34,2.41,2.28,0.77,5.47,1.35,-0.16,0.04,-0.01,-0.13
35,"Piešťany, centrum",0.84,0.86,0.79,2.5,0.85,0.86,0.79,2.5,0.36,-0.01,0.0,-0.0,-0.01
36,"Zvolen, Kaufland",2.35,3.66,0.87,6.88,1.88,3.95,0.91,6.74,1.32,0.47,-0.29,-0.04,0.14
37,"Čierna n.T., poliklinika",2.63,0.0,0.61,3.25,2.07,0.02,0.6,2.69,0.65,0.56,-0.02,0.01,0.55
38,"Žilina, Kaufland",2.54,2.5,0.82,5.86,2.6,2.53,0.83,5.96,0.73,-0.06,-0.03,-0.01,-0.1
39,"Prešov, Kaufland",3.09,3.21,0.83,7.13,2.5,3.21,0.84,6.55,1.43,0.59,-0.0,-0.01,0.58
40,"Stará Ľubovňa, CBA",0.59,0.8,0.8,2.19,0.59,0.81,0.8,2.2,0.45,0.0,-0.02,0.0,-0.01
41,"Žiar n.H., NsP 2",4.22,2.51,0.77,7.5,3.12,3.03,0.76,6.9,1.75,1.1,-0.51,0.01,0.6
42,"Bratislava, Kaufland Petržalka",2.68,2.41,0.88,5.97,2.88,2.67,0.9,6.45,0.82,-0.2,-0.26,-0.02,-0.49
