id,mesto,regional,region_code,typ,fte,fte_F,fte_L,fte_ZF,trzby,bloky,naklady,hodnota_bloku,podiel_rx,trzby_per_blok,trzby_cv,bloky_cv,bloky_trend,kpi_mean,kpi_std,contract_ZF,contract_F,contract_L,high_rx_complexity,is_shopping,is_poliklinika,is_street
2,"Bratislava, Obchodná",RR15_Miroslava Kolesárová,RR15,D - street,4.321120689655173,2.17,1.88,0.11,1154617.09,61770,84618.77,18.692198316334792,0.4713968,18.692198316334792,0.1519819768608324,0.142447282131222,0.110738255033557,8.859812064599803,1.3000118388536683,0.13,2.83333333333333,2.29666666666667,0,0,0,1
3,Senec,RR13_Slavomír Bodnár,RR13,E - poliklinika,2.2684386973180075,1.05,,0.72,754015.45,33650,55539.53,22.407591381872212,0.7395328305275444,22.407591381872212,0.113387833138947,0.0943721358926305,0.0434782608695652,8.37197073452493,1.3367173410837414,0.865833333333333,1.29166666666667,,1,0,1,0
5,"Vranov n.T., centrum",RR2_Silvia Mastikova,RR2,D - street,2.5328065134099615,0.88,0.82,0.85,945226.53,50640,56116.91,18.665610781990523,0.5693855736359833,18.665610781990523,0.1420980826887304,0.1261558091758838,0.0244102564102564,8.09401609041853,1.0089981975968267,1.0,1.08333333333333,1.0,0,0,0,1
6,"Turzovka, mesto",RR8_Katarína Kuchtová,RR8,C - street +,3.231800766283525,0.86,1.81,0.8,1326786.58,52628,70503.66,25.21065934483545,0.715344678870659,25.21065934483545,0.0857327335664766,0.0963038680253196,0.1130316124630429,7.010452210823716,0.939962169752722,1.0,1.08333333333333,2.41666666666667,1,0,0,1
7,"Prešov, 17.novembra",RR3_Jana Majernikova,RR3,C - street +,2.219827586206897,0.85,0.4,0.88,610019.9400000001,35146,55525.42,17.356738746941332,0.615215659999573,17.356738746941332,0.1444133359469821,0.1399569554360741,0.0973479948253557,10.801086599277788,1.9210115105983636,1.0,1.16666666666667,0.916666666666667,0,0,0,1
9,"Humenné, NsP",RR2_Silvia Mastikova,RR2,E - poliklinika,4.0761494252873565,1.41,2.3,0.82,1412738.8,58861,69113.01,24.00127079050645,0.7969313931209365,24.00127079050645,0.1051176017691802,0.1025877883718664,-0.109090909090909,6.451272143650236,0.7453125646319956,1.0,1.88,3.0,1,0,1,0
11,"Rimavská Sobota, Kaufland",RR5_Juraj Hvorecky,RR5,B - shopping,5.675047892720307,1.95,2.84,0.27,1644725.11,122317,129679.53,13.44641472567182,0.5627199064286189,13.44641472567182,0.0705385736465558,0.0630830177011082,0.104629719499175,9.63086400327792,1.250855390299841,0.833333333333333,2.5,4.58333333333333,0,1,0,0
12,"Michalovce, TESCO",RR1_Beata Kubanova,RR1,B - shopping,5.1867816091954015,1.4,2.55,0.83,1559378.57,109587,100957.38,14.229594477447144,0.4791442850211799,14.229594477447144,0.1145168518462638,0.0982055116551343,0.1702615878843506,8.384732386283037,1.111012810184281,1.0,2.16666666666667,3.0,0,1,0,0
13,"Košice, Merkúr",RR4_Radovan Kalmar,RR4,C - street +,2.453065134099617,0.79,0.87,0.66,744650.0599999999,42016,49397.2,17.723011709824828,0.6205871923249425,17.723011709824828,0.1207621199442449,0.098840306473071,0.1054973821989528,8.60251608166398,1.1914821652720615,0.81,1.0,1.0,0,0,0,1
14,"Spiš.N.Ves, OC Madaras",RR3_Jana Majernikova,RR3,B - shopping,5.298611111111112,2.61,1.57,0.85,1986298.47,128266,109876.76,15.485775419830665,0.5029607005637979,15.485775419830665,0.1013731683968303,0.1420569699018638,0.0809433310297166,7.094505275389046,0.6647237710279592,1.0,3.08333333333333,2.25,0,1,0,0
15,"Humenné, Kaufland",RR2_Silvia Mastikova,RR2,B - shopping,4.525383141762452,1.85,1.73,0.73,1555373.54,114526,115051.43,13.580964497144754,0.488715855356521,13.580964497144754,0.0861211043869881,0.0693887888133339,0.1414057640472734,9.468853967500689,4.31467477794653,0.855,2.25,2.0,0,1,0,0
16,"Poprad, OC MAX",RR7_Ivana Iľanovská,RR7,B - shopping,3.9554597701149423,1.83,1.72,0.27,1115250.59,71671,83689.56,15.560695260286588,0.4645867078178367,15.560695260286588,0.1450127698450222,0.1831060637724296,0.1260108807528304,9.217046759636046,1.5334898422651313,1.0,2.16666666666667,2.0,0,1,0,0
17,"Topoľčany, 17.novembra",RR10_Mário Mantuano,RR10,C - street +,3.7504789272030647,1.45,1.61,0.76,946843.62,46145,79484.09,20.518877884927942,0.6998997152243578,20.518877884927942,0.1342427448505735,0.1403251549475564,-0.0775806796324,10.184855253275623,1.5018330590101032,0.9375,2.25,2.0,0,0,0,1
18,"Partizánske, Prior",RR10_Mário Mantuano,RR10,C - street +,3.5674090038314175,0.82,1.65,0.54,1167196.3,54404,75585.34,21.454236820822,0.7008497371007772,21.454236820822,0.075155712757806,0.0853922891848654,0.010351966873706,7.684254807585213,0.910272686716642,1.08333333333333,1.0,2.0,1,0,0,1
19,Lipt. Mikuláš,RR7_Ivana Iľanovská,RR7,B - shopping,4.073036398467433,2.43,1.61,0.11,1215616.35,57875,83986.84,21.00417019438445,0.6512398669201841,21.00417019438445,0.1138279069871604,0.0904050332916979,0.0910927085437285,8.587623342136046,1.56571044186372,0.171666666666667,3.08333333333333,2.0,0,1,0,0
22,"Rimavská Sobota, NsP",RR5_Juraj Hvorecky,RR5,E - poliklinika,3.2140804597701145,1.67,3.05,0.89,3139745.35,43228,76747.07,72.63221407421116,0.931755573744221,72.63221407421116,0.1105182288693285,0.0991615006854171,-0.0101065282709642,3.189103467179247,0.5433918938465586,1.0,2.0,4.0,1,0,1,0
25,"Michalovce, Kaufland",RR1_Beata Kubanova,RR1,B - shopping,6.880986590038314,3.47,2.54,0.86,2572014.98,152541,131546.51,16.861138841360685,0.626569200619508,16.861138841360685,0.0789008110163292,0.0856080801240433,0.0918423321056343,6.918627775350682,0.7258918629941076,1.0,4.0,3.0,0,1,0,0
26,"Vranov n.T., NsP",RR2_Silvia Mastikova,RR2,E - poliklinika,4.210009578544061,1.35,2.44,0.86,1924848.33,70712,76040.74,27.22095726326508,0.8115522899406832,27.22095726326508,0.0755484795388994,0.1083204592262828,-0.0135562584726615,5.3490172215769975,0.616946188813039,1.0,2.0,3.0,1,0,1,0
27,"Bratislava, Kaufland Trnavská",RR13_Slavomír Bodnár,RR13,B - shopping,5.444204980842912,1.78,2.57,0.7,1454841.82,94020,111250.19,15.473748351414594,0.4195179445693965,15.473748351414594,0.1144910220250621,0.0929306164762106,0.1024660424634049,9.309711244828229,1.647973191002646,0.793333333333333,2.04166666666667,3.08333333333333,0,1,0,0
29,"Nitra, Kaufland",RR11_Andrej Kukučka,RR11,B - shopping,8.580220306513409,4.22,4.22,0.87,3133673.76,171852,174433.94,18.234723832134627,0.5660888707189482,18.234723832134627,0.1061632189431452,0.0879266769758354,0.0999641448547866,7.35175951647307,0.6930068109451766,1.0,5.0,6.25,0,1,0,0
30,"Nové Zámky, OC Aquario",RR14_Zsolt Balogh,RR14,B - shopping,4.041427203065134,1.54,1.56,0.81,946284.79,65954,91939.89,14.347648209358038,0.3082534381642127,14.347648209358038,0.2153147691250121,0.2896927560908622,0.0164850516904163,12.083572461933892,2.219286500389317,1.0,1.75,2.0,0,1,0,0
31,"Košice, Kaufland Popradská",RR4_Radovan Kalmar,RR4,B - shopping,5.216714559386973,1.66,2.53,0.87,1650538.07,101084,108468.02,16.32838104942424,0.5698648380767127,16.32838104942424,0.0942985214090658,0.0788051688077403,0.1580397795351066,8.455378522283556,0.8745475063673892,1.0,2.125,3.0,0,1,0,0
32,"Hnúšťa, poliklinika",RR5_Juraj Hvorecky,RR5,E - poliklinika,3.1343390804597706,0.83,1.55,0.75,895421.91,43445,71748.44,20.610470940269305,0.7630580314926625,20.610470940269305,0.0763335478153667,0.0751002463083201,0.0600162206001622,9.75303173461024,1.1292450084615075,1.0,1.0,2.0625,1,0,1,0
33,"Levice, TESCO",RR11_Andrej Kukučka,RR11,B - shopping,5.984674329501916,2.15,2.52,0.84,2518066.82,131028,148477.99,19.21777650578502,0.52088017267151,19.21777650578502,0.0765695442005785,0.070159172156738,0.1783368791046156,7.530498907777877,2.1712342629114176,1.0,2.83333333333333,3.0,0,1,0,0
34,"Púchov, Kaufland",RR9_Andrej Jakubík,RR9,B - shopping,5.4671934865900385,2.28,2.35,0.76,1839086.11,109134,127685.81,16.85163294665274,0.5323443609717654,16.85163294665274,0.2366621247274763,0.235370475719166,0.1011988011988012,9.463907782781932,4.536194012275754,0.9275,3.08333333333333,3.08333333333333,0,1,0,0
35,"Piešťany, centrum",RR12_Alena Romanová,RR12,C - street +,2.5023946360153255,0.85,0.87,0.8,548531.97,28041,64822.46,19.561783459933668,0.6142138442723767,19.561783459933668,0.2262473637031877,0.2043168939165409,0.0832455216016859,14.436524192744182,2.713791091754026,1.0,1.0,1.0,0,0,0,1
36,"Zvolen, Kaufland",RR5_Juraj Hvorecky,RR5,B - shopping,6.744252873563219,2.38,3.7,0.88,2445001.64,134069,153156.67,18.236890258001477,0.5475597922298326,18.236890258001477,0.0842049385457691,0.0788918252905456,0.2507690780986404,8.331509341207068,0.7691271535527131,1.0,2.83333333333333,4.41666666666667,0,1,0,0
37,"Čierna n.T., poliklinika",RR1_Beata Kubanova,RR1,E - poliklinika,2.692528735632184,2.66,,0.62,1284620.18,57076,73240.22,22.50718655827318,0.7207189521185944,22.50718655827318,0.0750898291300582,0.076074843687467,0.08006437336552,7.424904335174587,0.9933560337519276,0.7825,3.41666666666667,,1,0,1,0
38,"Žilina, Kaufland",RR8_Katarína Kuchtová,RR8,B - shopping,5.963960727969349,2.57,2.53,0.83,1808212.21,110528,122709.42,16.35976594166184,0.5543295883396341,16.35976594166184,0.0787136426943942,0.0742541543174501,0.17761614265603,8.777454356645523,0.9541672604182668,1.0,2.91666666666667,3.0,0,1,0,0
39,"Prešov, Kaufland",RR3_Jana Majernikova,RR3,B - shopping,6.549329501915708,3.13,3.25,0.84,2247321.16,139377,126149.9,16.12404600472101,0.5824648311503461,16.12404600472101,0.0865762778477518,0.0691088873041131,0.0826324460244515,7.149378689052704,0.7774538850414812,1.0,4.08333333333333,4.0,0,1,0,0
40,"Stará Ľubovňa, CBA",RR7_Ivana Iľanovská,RR7,D - street,2.203544061302682,0.6,0.8,0.81,715751.38,39991,54388.31,17.897811507589207,0.6256594014530577,17.897811507589207,0.1109898299832068,0.1126444788979654,0.0205278592375366,9.705286198926688,1.4712141902207636,1.0,0.75,1.0,0,0,0,1
41,"Žiar n.H., NsP 2",RR5_Juraj Hvorecky,RR5,E - poliklinika,6.901580459770115,4.27,2.54,0.78,2254679.66,89636,142343.23,25.153729082065244,0.7933636789893247,25.153729082065244,0.0782016579537761,0.0948608463796641,0.045196313596768,8.489087751347336,1.324901289761799,1.0,5.77083333333333,3.0,1,0,1,0
42,"Bratislava, Kaufland Petržalka",RR15_Miroslava Kolesárová,RR15,B - shopping,6.454501915708812,2.71,2.44,0.89,2367644.9,134175,129892.47,17.645946711384386,0.54839047865666,17.645946711384386,0.0932561718515083,0.0859928572226304,0.0951897331732988,6.8222780576754944,0.9184674727617944,1.0,3.3125,2.91666666666667,0,1,0,0
43,"Šaľa, Kaufland",RR11_Andrej Kukučka,RR11,B - shopping,7.332614942528736,2.64,3.98,0.76,1994111.9,139762,154566.53,14.267911878765329,0.4657275602236766,14.267911878765329,0.0914293578857324,0.0681089492267289,0.0629954461123292,9.77195284166844,1.8837543172746591,1.0,3.58333333333333,4.83333333333333,0,1,0,0
45,"Košice, Štúrova",RR1_Beata Kubanova,RR1,C - street +,4.991977969348659,2.49,1.66,0.83,2060350.74,93136,95159.81,22.121958641126955,0.6738586508819369,22.121958641126955,0.0964964503155066,0.0922366370350685,-0.0013842427038874,5.9192905436155625,0.6632522896312002,1.0,3.0,2.0,0,0,0,1
46,"Sereď, ProCare",RR14_Zsolt Balogh,RR14,E - poliklinika,3.3012452107279695,0.96,1.58,0.75,1160106.67,49619,71072.31,23.38029121908946,0.7568025878172048,23.38029121908946,0.0940817630264312,0.1170902890093879,0.0235565819861431,7.710330754653807,1.5014682305179623,1.0,1.75,2.0,1,0,1,0
47,"Brezno, TESCO",RR6_Jaroslav Vigh,RR6,B - shopping,4.2602969348659006,1.78,2.43,,1352352.4,83043,96159.61,16.28496562022085,0.4628874766665848,16.28496562022085,0.1209915674722609,0.1172591548686894,0.2767760826013253,9.151942904664203,1.2044952344324782,,2.41666666666667,3.0,0,1,0,0
