id,mesto,regional,region_code,typ,fte,fte_F,fte_L,fte_ZF,trzby,bloky,naklady,podiel_rx,revenue_per_transaction,trzby_cv,bloky_cv,bloky_trend,kpi_mean,kpi_std,high_rx_complexity,is_shopping,is_poliklinika,is_street,produktivita,fte_zastup,seasonal_peak_factor,bloky_per_day,pharmacist_ratio,avg_base_salary,hourly_rate,pharmacist_wage_premium,bloky_range,prod_residual,predicted_fte,fte_diff,revenue_at_risk,actual_fte_gross,productivity_index,productivity_percentile,productivity_vs_segment,peer_rank_str,bloky_index,trzby_index,fte_actual,fte_recommended,fte_gap,revenue_at_risk_eur,fte_n,hospital_supply,produktivita_gross,is_above_avg_gross
2,"Bratislava, Obchodná",RR15_Miroslava Kolesárová,RR15,D - street,4.321120689655173,2.17,1.88,0.11,1154617.09,61770,84618.77,0.4713968,18.692198316334792,0.1519819768608324,0.142447282131222,0.110738255033557,8.859812064599803,1.3000118388536683,0,0,0,1,6.846217788861185,0.319204980842912,1.1858183584264206,205.9,0.5358024691358024,863.8271604938271,7.60639276247551,1.7402395435166127,2261,0.0186635580369198,4.3,0.7,0,5.0,101,55,priemerná,21/44,186,183,5.0,4.3,-0.7000000000000002,0,0.689176245210728,False,5.9167,True
3,Senec,RR13_Slavomír Bodnár,RR13,E - poliklinika,2.2684386973180075,1.05,0.0,0.72,754015.45,33650,55539.53,0.7395328305275444,22.407591381872212,0.113387833138947,0.0943721358926305,0.0434782608695652,8.37197073452493,1.3367173410837414,1,0,1,0,7.104401984587768,0.503113026819923,1.131887072808321,112.16666666666669,,1284.5862068965516,7.706303523035231,,720,0.5991292529018013,2.9,-0.4,60321,2.5,101,65,priemerná,26/72,76,59,2.5,2.9,0.3999999999999999,60321,0.2701149425287356,False,6.4464,True
5,"Vranov n.T., centrum",RR2_Silvia Mastikova,RR2,D - street,2.5328065134099615,0.88,0.82,0.85,945226.53,50640,56116.91,0.5693855736359833,18.665610781990523,0.1420980826887304,0.1261558091758838,0.0244102564102564,8.09401609041853,1.0089981975968267,0,0,0,1,9.575493996407303,0.488505747126437,1.1680094786729858,168.8,0.5176470588235295,1257.111111111111,9.043563650018775,1.1233449477351918,1434,2.7479397655830384,2.4,0.5,0,2.9,141,98,nadpriemerná,2/44,153,150,2.9,2.4,-0.5,0,0.3199233716475095,False,8.3631,True
6,"Turzovka, mesto",RR8_Katarína Kuchtová,RR8,C - street +,3.231800766283525,0.86,1.81,0.8,1326786.58,52628,70503.66,0.715344678870659,25.21065934483545,0.0857327335664766,0.0963038680253196,0.1130316124630429,7.010452210823716,0.939962169752722,1,0,0,1,7.799051570835816,0.105124521072797,1.2144105799194345,175.42666666666668,0.3220973782771535,1249.8823529411766,8.980776524326943,1.3599285270354258,1589,0.6756109931221426,4.0,-0.1,17010,3.9,111,71,nadpriemerná,21/68,132,148,3.9,4.0,0.1,17010,0.6915708812260536,False,6.4628,True
7,"Prešov, 17.novembra",RR3_Jana Majernikova,RR3,C - street +,2.219827586206897,0.85,0.4,0.88,610019.9400000001,35146,55525.42,0.615215659999573,17.356738746941332,0.1444133359469821,0.1399569554360741,0.0973479948253557,10.801086599277788,1.9210115105983636,0,0,0,1,7.582740021574961,0.0886015325670498,1.287201957548512,117.15333333333334,0.6799999999999999,1294.258064516129,8.493479335130278,1.1891224953114203,1352,0.4592994438612869,2.9,-0.1,10893,2.8,108,66,nadpriemerná,24/68,88,68,2.8,2.9,0.1,10893,0.5926724137931034,False,6.0116,False
9,"Humenné, NsP",RR2_Silvia Mastikova,RR2,E - poliklinika,4.0761494252873565,1.41,2.3,0.82,1412738.8,58861,69113.01,0.7969313931209365,24.00127079050645,0.1051176017691802,0.1025877883718664,-0.109090909090909,6.451272143650236,0.7453125646319956,1,0,1,0,6.915873575373041,0.627155172413793,1.1773500280321436,196.20333333333335,0.3800539083557951,1003.1538461538462,7.797606747496046,0.7765750444321873,1571,0.4106008436870745,5.0,0.1,0,5.1,99,62,priemerná,28/72,133,111,5.1,5.0,-0.0999999999999996,0,1.0172413793103448,False,5.5275,True
11,"Rimavská Sobota, Kaufland",RR5_Juraj Hvorecky,RR5,B - shopping,5.675047892720307,1.95,2.84,0.27,1644725.11,122317,129679.53,0.5627199064286189,13.44641472567182,0.0705385736465558,0.0630830177011082,0.104629719499175,9.63086400327792,1.250855390299841,0,1,0,0,10.322545255074049,0.790229885057471,1.0950562881692651,407.72333333333336,0.4070981210855949,1182.0666666666666,9.924518757104964,1.4805534779356768,2254,0.5199779164182576,6.5,1.4,0,7.9,132,66,nadpriemerná,33/93,122,106,7.9,6.5,-1.4000000000000004,0,2.2701149425287355,False,7.4153,False
12,"Michalovce, TESCO",RR1_Beata Kubanova,RR1,B - shopping,5.1867816091954015,1.4,2.55,0.83,1559378.57,109587,100957.38,0.4791442850211799,14.229594477447144,0.1145168518462638,0.0982055116551343,0.1702615878843506,8.384732386283037,1.111012810184281,0,1,0,0,10.118836565096958,0.40014367816092,1.171452818308741,365.29,0.3544303797468354,1131.9710144927535,8.619098819763954,1.1319050376375217,2816,0.3162692264411664,5.9,0.4,0,6.3,130,62,nadpriemerná,36/93,109,100,6.3,5.9,-0.3999999999999994,0,1.1551724137931034,False,8.3308,False
13,"Košice, Merkúr",RR4_Radovan Kalmar,RR4,C - street +,2.453065134099617,0.79,0.87,0.66,744650.0599999999,42016,49397.2,0.6205871923249425,17.723011709824828,0.1207621199442449,0.098840306473071,0.1054973821989528,8.60251608166398,1.1914821652720615,0,0,0,1,8.203045685279177,0.142480842911877,1.1772658035034271,140.05333333333334,0.4759036144578313,1142.888888888889,8.641770478256378,1.1498257839721255,1111,1.079605107565503,2.9,-0.1,13297,2.8,117,79,nadpriemerná,15/68,106,83,2.8,2.9,0.1,13297,0.3663793103448275,False,7.1866,True
14,"Spiš.N.Ves, OC Madaras",RR3_Jana Majernikova,RR3,B - shopping,5.298611111111112,2.61,1.57,0.85,1986298.47,128266,109876.76,0.5029607005637979,15.485775419830665,0.1013731683968303,0.1420569699018638,0.0809433310297166,7.094505275389046,0.6647237710279592,0,1,0,0,11.593618655940707,0.284003831417625,1.2111705362293983,427.55333333333334,0.6244019138755981,1223.7887323943662,8.93614926936075,1.3045664246264546,4805,1.791051317284916,6.4,-0.1,15764,6.3,149,88,nadpriemerná,12/93,128,128,6.3,6.4,0.1000000000000005,15764,1.0181992337164751,False,9.7508,True
