obdobie,md,stredisko,funkcia,ppv,mzda,fond,hodiny,vyplata,uvazok
44409,MD,2,Farmaceut,PZ,1100,170.5,0,0,1
44409,,2,Farmaceut,PZ,1350,176,168,1241.91,1
44409,,2,Farmaceut,PZ,1250,176,136,1149.67,1
44409,,2,Farmaceut,PZ,1350,176,136,1470.68,1
44409,,2,Laborant,PZ,1030,176,120,1017.83,1
44409,,2,Laborant,PZ,1030,176,108,1036.86,1
44409,,2,Laborant,PZ,150,22,22,126.89,0.13
44409,,2,Sanitár,PZ,739,176,128,717.88,1
44409,,2,Zodpovedný farmaceut,PZ,151,22,17,106.3,0.13
44409,MD,2,Zodpovedný farmaceut,PZ,1910,176,0,0,1
44409,,3,Farmaceut,PZ,1300,176,153.5,1119.33,1
44409,,3,Sanitár,PZ,739,176,88,643.06,1
44409,,3,Zodpovedný farmaceut,PZ,1700,176,136,1466.63,1
44409,,5,Farmaceut,PZ,1087,176,176,1051.64,1
44409,,5,Laborant,PZ,971,176,136,1008.21,1
44409,,5,Sanitár,PZ,555,132,96,514.07,0.75
44409,,5,Zodpovedný farmaceut,PZ,1750,176,96,2356.24,1
44409,,6,Farmaceut,PZ,1300,176,136,1245.45,1
44409,,6,Laborant,PZ,971,176,80,924.53,1
44409,,6,Laborant,PZ,971,176,134.5,986.63,1
44409,,6,Sanitár,PZ,555,132,90,520.25,0.75
44409,,6,Zodpovedný farmaceut,PZ,1870,176,104,2392.76,1
44409,,7,Dohoda,dohoda,0,0,0,210.44,0.25
44409,,7,Dohoda,dohoda,0,0,0,184.56,0.5
44409,,7,Dohoda,dohoda,0,0,0,609.05,0.5
44409,,7,Farmaceut,PZ,1171,176,168,960.54,1
44409,,7,Zodpovedný farmaceut,PZ,1650,176,96,1782.19,1
44409,,9,Farmaceut,PZ,1120,176,136,958.14,1
44409,,9,Farmaceut,PZ,136,22,16,95.82,0.13
44409,,9,Laborant,PZ,971,176,88,936.83,1
44409,,9,Laborant,PZ,971,176,152,775.46,1
44409,,9,Laborant,PZ,971,176,152,823.18,1
44409,,9,Sanitár,PZ,739,176,136,626.56,1
44409,,9,Sanitár,PZ,739,176,124,688.19,1
44409,,9,Zodpovedný farmaceut,PZ,1820,176,96,2091.78,1
44409,,11,Dohoda,dohoda,0,0,0,117.85,0.25
44409,,11,Dohoda,dohoda,0,0,0,0,0.25
