obdobie,md,stredisko,funkcia,ppv,mzda,fond,hodiny,vyplata,uvazok
44197,RD,2,Farmaceut,PZ,1100,162.75,0,0,1
44197,,2,Farmaceut,PZ,1250,168,136,1027.65,1
44197,,2,Farmaceut,PZ,1250,168,149.5,1068.28,1
44197,,2,Farmaceut,PZ,1300,168,104,1001.15,1
44197,,2,Laborant,PZ,1030,168,64,428.05,1
44197,,2,Laborant,PZ,1030,168,142,832.75,1
44197,,2,Laborant,PZ,150,21,19,139.72,0.13
44197,,2,Sanitár,PZ,739,168,80,543.5,1
44197,,2,Zodpovedný farmaceut,PZ,151,21,19,105.92,0.13
44197,RD,2,Zodpovedný farmaceut,PZ,1910,168,0,0,1
44197,,3,Farmaceut,PZ,1300,168,144,1145.74,1
44197,,3,Sanitár,PZ,739,168,136,636.89,1
44197,,3,Zodpovedný farmaceut,PZ,1700,168,128,776.33,1
44197,,5,Farmaceut,PZ,1087,168,152,1152.39,1
44197,,5,Laborant,PZ,971,168,84,956.93,1
44197,,5,Sanitár,PZ,555,126,108,489.63,0.75
44197,,5,Zodpovedný farmaceut,PZ,1750,168,140,1878.83,1
44197,,6,Farmaceut,PZ,1300,168,152,887.2,1
44197,,6,Laborant,PZ,971,168,144,820.67,1
44197,,6,Laborant,PZ,971,168,152,959.57,1
44197,,6,Sanitár,PZ,555,126,96,505.22,0.75
44197,,6,Zodpovedný farmaceut,PZ,1870,168,88,2418.96,1
44197,,7,Dohoda,dohoda,0,0,0,280.58,0.25
44197,,7,Dohoda,dohoda,0,0,0,87.01,0.5
44197,,7,Farmaceut,PZ,1171,168,136,1050.74,1
44197,,7,Laborant,PZ,971,168,152,656.42,1
44197,,7,Zodpovedný farmaceut,PZ,1650,168,152,1556.58,1
44197,,9,Farmaceut,PZ,1120,168,56,380.54,1
44197,,9,Farmaceut,PZ,136,21,14,95.41,0.13
44197,,9,Farmaceut,PZ,1120,168,112,769.91,1
44197,,9,Laborant,PZ,971,168,120,558.71,1
44197,,9,Laborant,PZ,971,168,0,0,1
44197,,9,Laborant,PZ,971,168,120,652.63,1
44197,,9,Sanitár,PZ,739,168,104,469.19,1
44197,,9,Sanitár,PZ,739,168,64,396.82,1
44197,,9,Zodpovedný farmaceut,PZ,1820,168,120,1769.66,1
44197,,11,Dohoda,dohoda,0,0,0,258.32,0.25
44197,,11,Dohoda,dohoda,0,0,0,45.87,0.25
44197,,11,Dohoda,dohoda,0,0,0,0,0.25
44197,,11,Farmaceut,PZ,1660,168,144,2079.89,1
44197,,11,Farmaceut,PZ,1350,168,152,1139.14,1
44197,,11,Laborant,PZ,971,168,140,842.81,1
44197,,11,Laborant,PZ,971,168,104,1908.58,1
44197,,11,Laborant,PZ,971,168,152,999.88,1
44197,,11,Laborant,PZ,971,168,0,0,1
44197,,11,Sanitár,PZ,739,168,136,631.64,1
44197,,11,Zodpovedný farmaceut,PZ,1900,168,0,0,1
44197,,12,Farmaceut,PZ,1087,168,136,1372.08,1
44197,RD,12,Farmaceut,PZ,1433,168,0,0,1
44197,,12,Farmaceut,PZ,1120,168,124,1399.71,1
44197,,12,Laborant,PZ,971,168,144,1211.29,1
44197,,12,Laborant,PZ,971,168,144,1071.68,1
44197,,12,Laborant,PZ,971,168,40,521.87,1
44197,RD,12,Sanitár,PZ,496,168,0,0,1
44197,,12,Sanitár,PZ,739,168,136,633.82,1
44197,,12,Zodpovedný farmaceut,PZ,1730,168,136,1849.24,1
44197,,13,Dohoda,dohoda,0,0,0,0,0.5
44197,,13,Farmaceut,PZ,1100,168,144,1116.82,1
44197,,13,Laborant,PZ,971,168,152,1192.71,1
44197,,13,Sanitár,PZ,462,105,95,361.03,0.63
44197,,13,Zodpovedný farmaceut,PZ,1372,136.5,117,1528.56,0.81
44197,,14,Farmaceut,PZ,1200,168,152,1268.42,1
44197,,14,Farmaceut,PZ,1285,168,80.5,1143.61,1
44197,,14,Farmaceut,PZ,1300,168,161,1422.96,1
44197,,14,Laborant,PZ,971,168,161,1177.53,1
44197,,14,Laborant,PZ,971,168,166.5,1140.34,1
44197,,14,Sanitár,PZ,739,168,144,631.84,1
44197,,14,Zodpovedný farmaceut,PZ,1700,168,140,1748.37,1
44197,,15,Dohoda,dohoda,0,0,0,161.82,0.5
44197,,15,Farmaceut,PZ,1380,168,144,1533.04,1
44197,,15,Farmaceut,PZ,1240,168,152,1522.83,1
44197,,15,Laborant,PZ,971,168,152,1111.57,1
44197,,15,Laborant,PZ,971,168,152,1091.68,1
44197,,15,Zodpovedný farmaceut,PZ,2324,168,140,14734.12,1
44197,,16,Farmaceut,PZ,1170,168,136,1230.36,1
44197,,16,Farmaceut,PZ,1428,168,152,1489.4,1
44197,,16,Laborant,PZ,971,168,136,996.71,1
44197,,16,Laborant,PZ,971,168,152,936.02,1
44197,,16,Sanitár,PZ,739,168,144,674.83,1
44197,,16,Zodpovedný farmaceut,PZ,1800,168,32,435.43,1
44197,,17,Dohoda,dohoda,0,0,0,0,0.5
44197,,17,Dohoda,dohoda,0,0,0,202.95,0.25
44197,,17,Farmaceut,PZ,1400,168,0,0,1
44197,,17,Farmaceut,PZ,1350,168,144,1245.87,1
44197,,17,Laborant,PZ,971,168,152,907.28,1
44197,,17,Laborant,PZ,971,168,72,755.39,1
44197,,17,Sanitár,PZ,739,168,32,644.77,1
44197,RD,17,Zodpovedný farmaceut,PZ,1850,168,0,0,1
44197,,17,Zodpovedný farmaceut,PZ,1800,168,144,1751.42,1
