"","obdobie","md","stredisko","funkcia","ppv","mzda","fond","hodiny","vyplata","uvazok"
"1",2021-08-01,"",2,"F","PZ",1350,176,168,1241.91,1
"2",2021-08-01,"",2,"F","PZ",1250,176,136,1149.67,1
"3",2021-08-01,"",2,"F","PZ",1350,176,136,1470.68,1
"4",2021-08-01,"",2,"L","PZ",1030,176,120,1017.83,1
"5",2021-08-01,"",2,"L","PZ",1030,176,108,1036.86,1
"6",2021-08-01,"",2,"L","PZ",150,22,22,126.89,0.13
"7",2021-08-01,"",2,"ZF","PZ",151,22,17,106.3,0.13
"8",2021-08-01,"",3,"F","PZ",1300,176,153.5,1119.33,1
"9",2021-08-01,"",3,"ZF","PZ",1700,176,136,1466.63,1
"10",2021-08-01,"",5,"F","PZ",1087,176,176,1051.64,1
"11",2021-08-01,"",5,"L","PZ",971,176,136,1008.21,1
"12",2021-08-01,"",5,"ZF","PZ",1750,176,96,2356.24,1
"13",2021-08-01,"",6,"F","PZ",1300,176,136,1245.45,1
"14",2021-08-01,"",6,"L","PZ",971,176,80,924.53,1
"15",2021-08-01,"",6,"L","PZ",971,176,134.5,986.63,1
"16",2021-08-01,"",6,"ZF","PZ",1870,176,104,2392.76,1
"17",2021-08-01,"",7,"F","PZ",1171,176,168,960.54,1
"18",2021-08-01,"",7,"ZF","PZ",1650,176,96,1782.19,1
"19",2021-08-01,"",9,"F","PZ",1120,176,136,958.14,1
"20",2021-08-01,"",9,"F","PZ",136,22,16,95.82,0.13
"21",2021-08-01,"",9,"L","PZ",971,176,88,936.83,1
"22",2021-08-01,"",9,"L","PZ",971,176,152,775.46,1
"23",2021-08-01,"",9,"L","PZ",971,176,152,823.18,1
"24",2021-08-01,"",9,"ZF","PZ",1820,176,96,2091.78,1
"25",2021-08-01,"",11,"F","PZ",1350,176,176,1490.49,1
"26",2021-08-01,"",11,"F","PZ",1350,176,168,1270.62,1
"27",2021-08-01,"",11,"L","PZ",971,176,104,913.26,1
"28",2021-08-01,"",11,"L","PZ",971,176,144,985.66,1
"29",2021-08-01,"",11,"L","PZ",971,176,120,1532.68,1
"30",2021-08-01,"",11,"L","PZ",971,176,144,1612.7,1
"31",2021-08-01,"",11,"L","PZ",971,176,0,0,1
"32",2021-08-01,"",11,"ZF","PZ",2000,176,104,2179.73,1
"33",2021-08-01,"",12,"F","PZ",1087,176,176,1269.17,1
"34",2021-08-01,"",12,"F","PZ",1087,176,168,1554.2,1
"35",2021-08-01,"",12,"F","PZ",1120,176,0,0,1
"36",2021-08-01,"",12,"L","PZ",971,176,112,1210.64,1
"37",2021-08-01,"",12,"L","PZ",971,176,136,1078.21,1
"38",2021-08-01,"",12,"L","PZ",971,176,148,1027,1
"39",2021-08-01,"",12,"ZF","PZ",1730,176,96,1925.92,1
"40",2021-08-01,"",13,"F","PZ",1100,176,136,1037.11,1
"41",2021-08-01,"",13,"L","PZ",971,176,176,843.93,1
"42",2021-08-01,"",13,"ZF","PZ",1372,143,78,1456.59,0.81
"43",2021-08-01,"",14,"F","PZ",1200,176,144,1326.53,1
"44",2021-08-01,"",14,"F","PZ",1285,176,160,1326.32,1
"45",2021-08-01,"",14,"F","PZ",1300,176,152,1473.44,1
"46",2021-08-01,"",14,"L","PZ",971,176,160,1095.93,1
"47",2021-08-01,"",14,"L","PZ",971,176,0,0,1
"48",2021-08-01,"",14,"L","PZ",971,176,176,1048.84,1
"49",2021-08-01,"",14,"ZF","PZ",1700,176,156,1757.85,1
"50",2021-08-01,"",15,"F","PZ",1200,176,176,1350.88,1
"51",2021-08-01,"",15,"F","PZ",1200,176,104,1145.58,1
"52",2021-08-01,"",15,"F","PZ",1240,176,128,1663.75,1
"53",2021-08-01,"",15,"L","PZ",971,176,144,1067.18,1
"54",2021-08-01,"",15,"L","PZ",971,176,136,1047.51,1
"55",2021-08-01,"",15,"ZF","PZ",1750,176,116,1829.68,1
"56",2021-08-01,"",16,"F","PZ",1170,176,176,1225.45,1
"57",2021-08-01,"",16,"F","PZ",1428,176,0,847.71,1
"58",2021-08-01,"",16,"F","PZ",1200,176,168,1156.32,1
"59",2021-08-01,"",16,"L","PZ",971,176,160,987.53,1
"60",2021-08-01,"",16,"L","PZ",971,176,163,1228.99,1
"61",2021-08-01,"",16,"ZF","PZ",1800,176,0,0,1
"62",2021-08-01,"",17,"F","PZ",1250,176,136,1106.34,1
"63",2021-08-01,"",17,"F","PZ",1350,176,132,1356.87,1
"64",2021-08-01,"",17,"L","PZ",971,176,88,888.84,1
"65",2021-08-01,"",17,"L","PZ",971,176,152,819.82,1
"66",2021-08-01,"",17,"ZF","PZ",305,44,44,236.64,0.25
"67",2021-08-01,"",18,"F","PZ",1400,176,80,974.92,1
"68",2021-08-01,"",18,"L","PZ",971,176,168,968.18,1
"69",2021-08-01,"",18,"L","PZ",971,176,120,1011.16,1
"70",2021-08-01,"",18,"ZF","PZ",1700,176,126,1538.33,1
"71",2021-08-01,"",19,"F","PZ",1200,176,168,1025.69,1
"72",2021-08-01,"",19,"F","PZ",1250,176,108,1477.63,1
"73",2021-08-01,"",19,"F","PZ",1550,176,84,1546.25,1
"74",2021-08-01,"",19,"L","PZ",971,176,168,723.95,1
"75",2021-08-01,"",19,"L","PZ",971,176,176,848.33,1
"76",2021-08-01,"",19,"ZF","PZ",150,22,20,128.91,0.13
"77",2021-08-01,"",22,"F","PZ",1400,176,172,1170.8,1
"78",2021-08-01,"",22,"F","PZ",1400,176,176,2041.15,1
"79",2021-08-01,"",22,"L","PZ",971,176,136,827.99,1
"80",2021-08-01,"",22,"L","PZ",971,176,0,55.87,1
"81",2021-08-01,"",22,"L","PZ",971,176,136,796.89,1
"82",2021-08-01,"",22,"L","PZ",971,176,120,802.22,1
"83",2021-08-01,"",22,"ZF","PZ",2100,176,137,1683.05,1
"84",2021-08-01,"",25,"F","PZ",1087,176,176,1452.63,1
"85",2021-08-01,"",25,"F","PZ",1090,176,160,1224.39,1
"86",2021-08-01,"",25,"F","PZ",1087,176,128,1298.51,1
"87",2021-08-01,"",25,"F","PZ",1110,176,128,1296.43,1
"88",2021-08-01,"",25,"L","PZ",971,176,136,1026.71,1
"89",2021-08-01,"",25,"L","PZ",971,176,128,1087.61,1
"90",2021-08-01,"",25,"L","PZ",971,176,136,1130.64,1
"91",2021-08-01,"",25,"ZF","PZ",2040,176,120,2447.15,1
"92",2021-08-01,"",26,"F","PZ",1100,176,120,1045.41,1
"93",2021-08-01,"",26,"F","PZ",1250,176,136,1061.46,1
"94",2021-08-01,"",26,"L","PZ",971,176,136,829.61,1
"95",2021-08-01,"",26,"L","PZ",971,176,136,883.65,1
"96",2021-08-01,"",26,"L","PZ",971,176,136,849.81,1
"97",2021-08-01,"",26,"ZF","PZ",2080,176,160,2026.04,1
"98",2021-08-01,"",27,"F","PZ",1250,176,176,1226.91,1
"99",2021-08-01,"",27,"F","PZ",1250,176,176,1050.14,1
"100",2021-08-01,"",27,"L","PZ",971,176,136,1205.24,1
"101",2021-08-01,"",27,"L","PZ",971,176,140,1038.32,1
"102",2021-08-01,"",27,"L","PZ",971,176,156,1246.27,1
"103",2021-08-01,"",27,"ZF","PZ",1850,176,134.5,1919.53,1
"104",2021-08-01,"",29,"F","PZ",1300,176,160,1156.53,1
"105",2021-08-01,"",29,"F","PZ",1300,176,128,1480.36,1
"106",2021-08-01,"",29,"F","PZ",1280,176,128,1344.6,1
"107",2021-08-01,"",29,"F","PZ",1300,176,152,1759.89,1
"108",2021-08-01,"",29,"F","PZ",1300,176,96,1412.09,1
"109",2021-08-01,"",29,"L","PZ",971,176,136,1033.15,1
"110",2021-08-01,"",29,"L","PZ",971,176,120,1106.55,1
"111",2021-08-01,"",29,"L","PZ",971,176,136,1036.72,1
"112",2021-08-01,"",29,"L","PZ",971,176,0,0,1
