"","X","id","trzby","naklady","bonus","bloky","month","kpi","year","mesiac","typ","regional","mesto"
"1",1,2,110099.91,7456.27,1384.82,5960,"2020-09-30 02:00:00",8.03006105999542,2020,9,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"2",2,2,103644.24,7316.79,1138.81,5477,"2020-10-30 01:00:00",8.15829225049072,2020,10,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"3",3,2,107887.01,6595.13,1511.53,4485,"2020-11-30 01:00:00",7.51402787045447,2020,11,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"4",4,2,121972.95,7649.14,3806.44,5625,"2020-12-30 01:00:00",9.39190205697247,2020,12,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"5",5,2,72635.04,6218.67,1000.97,3843,"2021-01-30 01:00:00",9.93961041392694,2021,1,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"6",6,2,81860.1,6898.47,841.55,4378,"2021-02-28 01:00:00",9.4551802404346,2021,2,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"7",7,2,98066.61,5512.75,552.34,5374,"2021-03-30 02:00:00",6.18466366890831,2021,3,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"8",8,2,78441.21,6858.54,1084.71,4338,"2021-04-30 02:00:00",10.1263736242722,2021,4,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"9",9,2,86039.32,7053.53,1191.07,4988,"2021-05-30 02:00:00",9.58236304052612,2021,5,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"10",10,2,106046.95,7175.44,1146.75,6104,"2021-06-30 02:00:00",7.84764672628491,2021,6,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"11",11,2,91430.42,7059.43,1588.91,5344,"2021-07-30 02:00:00",9.45893062724638,2021,7,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"12",12,2,96493.33,8824.61,1431.37,5854,"2021-08-30 02:00:00",10.6286931956851,2021,8,"D - street","RR15_Miroslava Kolesárová","Bratislava, Obchodná"
"13",13,3,73508.07,5000.98,504.2,3174,"2020-09-30 02:00:00",7.4892185307001,2020,9,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"14",14,3,75132.67,4905.06,416.49,3170,"2020-10-30 01:00:00",7.08287087361597,2020,10,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"15",15,3,53690.53,4596.85,809.87,2454,"2020-11-30 01:00:00",10.0701557611743,2020,11,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"16",16,3,66803.43,4368.44,398.81,2655,"2020-12-30 01:00:00",7.13623536995032,2020,12,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"17",17,3,59325.87,5102.13,773.86,2534,"2021-01-30 01:00:00",9.90459979769365,2021,1,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"18",18,3,60988.41,4646.51,292.72,2628,"2021-02-28 01:00:00",8.09863710170506,2021,2,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"19",19,3,62222.18,3457.44,701.99,2900,"2021-03-30 02:00:00",6.68480275040187,2021,3,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"20",20,3,52569.61,4856.98,284.36,2454,"2021-04-30 02:00:00",9.78006114178895,2021,4,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"21",21,3,63820.17,4547.99,686.71,2958,"2021-05-30 02:00:00",8.20226583539342,2021,5,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
"22",22,3,68201.88,4220.08,947.67,3049,"2021-06-30 02:00:00",7.57713716982582,2021,6,"E - poliklinika","RR13_Slavomír Bodnár","Senec"
