"","weekday","hour","n"
"1","Friday",7,7
"2","Friday",8,229
"3","Friday",9,268
"4","Friday",10,324
"5","Friday",11,360
"6","Friday",12,339
"7","Friday",13,272
"8","Friday",14,313
"9","Friday",15,328
"10","Friday",16,320
"11","Friday",17,303
"12","Friday",18,271
"13","Friday",19,211
"14","Monday",7,3
"15","Monday",8,202
"16","Monday",9,227
"17","Monday",10,251
"18","Monday",11,303
"19","Monday",12,290
"20","Monday",13,260
"21","Monday",14,290
"22","Monday",15,265
"23","Monday",16,281
"24","Monday",17,296
"25","Monday",18,240
"26","Monday",19,170
"27","Saturday",7,1
"28","Saturday",8,234
"29","Saturday",9,298
"30","Saturday",10,330
"31","Saturday",11,334
"32","Saturday",12,259
"33","Saturday",13,221
"34","Saturday",14,198
"35","Saturday",15,195
"36","Saturday",16,182
"37","Saturday",17,194
"38","Saturday",18,197
"39","Saturday",19,160
"40","Sunday",7,4
"41","Sunday",8,143
"42","Sunday",9,200
"43","Sunday",10,222
"44","Sunday",11,207
"45","Sunday",12,179
"46","Sunday",13,180
"47","Sunday",14,198
"48","Sunday",15,187
"49","Sunday",16,177
"50","Sunday",17,175
"51","Sunday",18,174
"52","Sunday",19,132
"53","Sunday",20,1
"54","Thursday",7,7
"55","Thursday",8,238
"56","Thursday",9,310
"57","Thursday",10,358
"58","Thursday",11,323
"59","Thursday",12,257
"60","Thursday",13,271
"61","Thursday",14,286
"62","Thursday",15,278
"63","Thursday",16,268
"64","Thursday",17,297
"65","Thursday",18,216
"66","Thursday",19,156
"67","Tuesday",7,5
"68","Tuesday",8,180
"69","Tuesday",9,223
"70","Tuesday",10,255
"71","Tuesday",11,264
"72","Tuesday",12,308
"73","Tuesday",13,269
"74","Tuesday",14,278
"75","Tuesday",15,270
"76","Tuesday",16,279
"77","Tuesday",17,271
"78","Tuesday",18,255
"79","Tuesday",19,194
"80","Wednesday",7,5
"81","Wednesday",8,168
"82","Wednesday",9,186
"83","Wednesday",10,217
"84","Wednesday",11,250
"85","Wednesday",12,205
"86","Wednesday",13,190
"87","Wednesday",14,207
"88","Wednesday",15,206
"89","Wednesday",16,224
"90","Wednesday",17,230
"91","Wednesday",18,158
"92","Wednesday",19,128
