id,kme_ov’,nepr’tomnos_,z‡stup,,zastup_perc
2,4.001915709,0.689176245,0.319204981,,0.079763045
3,1.76532567,0.270114943,0.503113027,,0.284997287
5,2.044300766,0.319923372,0.488505747,,0.238959822
6,3.126676245,0.691570881,0.105124521,,0.033621812
7,2.131226054,0.592672414,0.088601533,,0.041573034
9,3.448994253,1.017241379,0.627155172,,0.181837117
11,4.884818008,2.270114943,0.790229885,,0.161772636
12,4.786637931,1.155172414,0.400143678,,0.083595978
13,2.310584291,0.36637931,0.142480843,,0.061664421
14,5.01460728,1.018199234,0.284003831,,0.056635309
15,4.294779693,0.494252874,0.230603448,,0.053693895
16,3.801245211,1.243295019,0.154214559,,0.040569485
17,3.609913793,1.180316092,0.140565134,,0.03893864
18,2.964679119,0.953065134,0.602729885,,0.203303582
19,4.042385057,0.761494253,0.030651341,,0.007582489
22,3.048132184,1.128591954,0.165948276,,0.054442611
25,6.874042146,0.819923372,0.006944444,,0.001010242
26,4.079741379,1.137691571,0.130268199,,0.031930504
27,4.959291188,0.575431034,0.484913793,,0.097778851
29,8.404693487,2.254549808,0.17552682,,0.020884381
30,3.737308429,0.67816092,0.304118774,,0.081373743
31,5.05914751,0.708812261,0.15756705,,0.03114498
32,3.076867816,0.742816092,0.057471264,,0.018678496
33,5.49066092,1.072796935,0.49401341,,0.089973396
34,5.24137931,1.349856322,0.225814176,,0.043082968
35,2.489224138,0.358706897,0.013170498,,0.005291005
36,6.367097701,1.316091954,0.377155172,,0.059235022
37,2.672653257,0.650862069,0.019875479,,0.00743661
38,5.916307471,0.731561303,0.047653257,,0.008054561
39,6.513170498,1.427203065,0.036159004,,0.005551675
40,2.165708812,0.448275862,0.037835249,,0.017470146
41,5.867576628,1.750957854,1.034003831,,0.17622332
42,5.932950192,0.82183908,0.521551724,,0.087907653
43,6.909961686,1.478927203,0.422653257,,0.061165789
45,4.967073755,0.774305556,0.024904215,,0.00501386
46,3.242097701,1.100335249,0.05914751,,0.018243593
47,4.117576628,1.026819923,0.142720307,,0.034661239
48,2.885775862,1.161159004,1.105603448,,0.383121733
49,3.452346743,0.662835249,0.437260536,,0.126656031
50,1.615900383,0.210967433,0.223659004,,0.138411381
51,2.199233716,0.405651341,0.053639847,,0.024390244
52,4.233955939,1.309626437,0.319923372,,0.075561337
54,5.938338123,1.059386973,0.078065134,,0.013145956
55,4.141762452,0.891762452,0.144875479,,0.034979186
56,4.289750958,0.505747126,0.414272031,,0.096572513
57,0.875478927,0.086206897,0.081178161,,0.092724289
58,1.885775862,0.390804598,0.105124521,,0.055746032
59,3.001197318,0.649425287,0.023467433,,0.007819357
61,5.696599617,0.968630268,0.036637931,,0.006431544
62,3.630268199,0.475095785,0.211925287,,0.058377309
63,3.210967433,0.731800766,0.641283525,,0.199716608
64,3.737308429,1.557231801,0.158764368,,0.042480938
65,1.5598659,0.365900383,0.841954023,,0.539760516
