produktivita,konverzia
0.995402299,0.247685185
0.896551724,0.405092593
0.894252874,0.321759259
0.832183908,0.615740741
0.813793103,0.597222222
0.806896552,0.548611111
0.786206897,0.37962963
0.783908046,0.664351852
0.772413793,0.543981481
0.772413793,0.634259259
0.75862069,0.546296296
0.751724138,0.712962963
0.737931034,0.662037037
0.728735632,0.631944444
0.694252874,0.513888889
0.694252874,0.791666667
0.691954023,0.715277778
0.685057471,0.481481481
0.659770115,0.446759259
0.645977011,0.671296296
0.643678161,0.710648148
0.63908046,0.664351852
0.632183908,0.747685185
0.632183908,0.685185185
0.620689655,0.729166667
0.597701149,0.759259259
0.590804598,0.75462963
0.595402299,0.680555556
0.551724138,0.736111111
0.526436782,0.858796296
0.508045977,0.840277778
0.466666667,0.8125
0.450574713,0.865740741
0.429885057,0.777777778
