hour,index,weekday
8,0.424324324,Monday
9,0.610810811,Monday
10,0.689189189,Monday
11,0.689189189,Monday
12,0.678378378,Monday
13,0.702702703,Monday
14,0.767567568,Monday
15,0.821621622,Monday
16,0.808108108,Monday
17,0.702702703,Monday
18,0.556756757,Monday
19,0.386486486,Monday
8,0.43832021,Tuesday
9,0.595800525,Tuesday
10,0.706036745,Tuesday
11,0.742782152,Tuesday
12,0.742782152,Tuesday
13,0.771653543,Tuesday
14,0.797900262,Tuesday
15,0.837270341,Tuesday
16,0.834645669,Tuesday
17,0.782152231,Tuesday
18,0.648293963,Tuesday
19,0.477690289,Tuesday
8,0.372282609,Wednesday
9,0.491847826,Wednesday
10,0.559782609,Wednesday
11,0.58423913,Wednesday
12,0.557065217,Wednesday
13,0.559782609,Wednesday
14,0.597826087,Wednesday
15,0.652173913,Wednesday
16,0.663043478,Wednesday
17,0.611413043,Wednesday
18,0.491847826,Wednesday
19,0.361413043,Wednesday
8,0.608923885,Thursday
9,0.758530184,Thursday
10,0.784776903,Thursday
11,0.782152231,Thursday
12,0.771653543,Thursday
13,0.797900262,Thursday
14,0.837270341,Thursday
15,0.902887139,Thursday
16,0.942257218,Thursday
17,0.874015748,Thursday
18,0.729658793,Thursday
19,0.517060367,Thursday
8,0.488188976,Friday
9,0.692913386,Friday
10,0.839895013,Friday
11,0.88976378,Friday
12,0.86351706,Friday
13,0.850393701,Friday
14,0.874015748,Friday
15,0.916010499,Friday
16,0.929133858,Friday
17,0.87664042,Friday
18,0.745406824,Friday
19,0.556430446,Friday
8,0.489304813,Saturday
9,0.671122995,Saturday
10,0.820855615,Saturday
11,0.847593583,Saturday
12,0.764705882,Saturday
13,0.676470588,Saturday
14,0.609625668,Saturday
15,0.622994652,Saturday
16,0.673796791,Saturday
17,0.673796791,Saturday
18,0.598930481,Saturday
19,0.451871658,Saturday
8,0.490956072,Sunday
9,0.586563307,Sunday
10,0.596899225,Sunday
11,0.558139535,Sunday
12,0.506459948,Sunday
13,0.532299742,Sunday
14,0.599483204,Sunday
15,0.638242894,Sunday
16,0.609819121,Sunday
17,0.490956072,Sunday
18,0.333333333,Sunday
19,0.329949239,Sunday
