"","id","ZF","F","L"
"1",2,0.13,2.83333333333333,2.29666666666667
"2",3,0.865833333333333,1.29166666666667,NA
"3",5,1,1.08333333333333,1
"4",6,1,1.08333333333333,2.41666666666667
"5",7,1,1.16666666666667,0.916666666666667
"6",9,1,1.88,3
"7",11,0.833333333333333,2.5,4.58333333333333
"8",12,1,2.16666666666667,3
"9",13,0.81,1,1
"10",14,1,3.08333333333333,2.25
"11",15,0.855,2.25,2
"12",16,1,2.16666666666667,2
"13",17,0.9375,2.25,2
"14",18,1.08333333333333,1,2
"15",19,0.171666666666667,3.08333333333333,2
"16",22,1,2,4
"17",25,1,4,3
"18",26,1,2,3
"19",27,0.793333333333333,2.04166666666667,3.08333333333333
"20",29,1,5,6.25
"21",30,1,1.75,2
"22",31,1,2.125,3
"23",32,1,1,2.0625
"24",33,1,2.83333333333333,3
"25",34,0.9275,3.08333333333333,3.08333333333333
"26",35,1,1,1
"27",36,1,2.83333333333333,4.41666666666667
"28",37,0.7825,3.41666666666667,NA
"29",38,1,2.91666666666667,3
"30",39,1,4.08333333333333,4
"31",40,1,0.75,1
"32",41,1,5.77083333333333,3
"33",42,1,3.3125,2.91666666666667
"34",43,1,3.58333333333333,4.83333333333333
"35",45,1,3,2
"36",46,1,1.75,2
"37",47,NA,2.41666666666667,3
"38",48,1,0.916666666666667,2.25
"39",49,0.916666666666667,1,3
"40",50,1,NA,1
"41",51,0.13,2.91666666666667,NA
"42",52,1,1.66666666666667,3
"43",54,1,3.41666666666667,4
"44",55,1,3.0975,2.08333333333333
"45",56,1,3,1.16666666666667
"46",57,1,NA,NA
"47",58,0.855,0.916666666666667,1
"48",59,1,1,1.91666666666667
"49",61,1,3,3
"50",62,1,1,2
"51",63,1,1,2.08333333333333
"52",64,0.42,2.25,2.83333333333333
"53",65,1,1,NA
"54",66,0.855,1.08333333333333,3.66666666666667
"55",67,1,4.66666666666667,4
"56",68,1,NA,1
"57",69,1,2.16666666666667,2
"58",70,1,2,3.25
"59",71,1,4.30416666666667,3
"60",72,1,3.25,2.5
"61",73,1,3.25,2
"62",74,1,2.75,2.97916666666667
"63",76,1,2.125,2
"64",77,1,1.58333333333333,3
"65",78,1,2.83333333333333,NA
"66",79,0.855,1,1
"67",80,1,1.5,3
"68",81,0.13,1,1
"69",82,0.24,3.66666666666667,3.16666666666667
"70",83,1,0.666666666666667,NA
"71",84,1,2,3.5
"72",85,1,0.583333333333333,2
"73",86,1,2.08333333333333,2
"74",87,1,2,3
"75",88,1,0.75,1.25
"76",89,1,4.33333333333333,2
"77",90,1,2.16666666666667,2
"78",91,1,1,3.33333333333333
"79",92,1.08333333333333,2.08333333333333,2.08333333333333
"80",93,1,1,2
"81",94,1,2,3
