id,revenue_2019,revenue_2020,revenue_2021_ytd,yoy_growth_2020,yoy_growth_2021
1,1497113.25,,,-100.0,
2,1142374.28,1322857.51,711012.98,15.8,-19.4
3,738872.87,845060.02,484880.75,14.4,-13.9
5,1105304.42,925165.1,589801.1,-16.3,-4.4
6,610406.69,1277877.58,872786.9,109.3,2.4
7,1659164.31,570672.36,392444.28,-65.6,3.2
9,1499254.35,1535103.65,912993.09,2.4,-10.8
11,1290159.2,1540784.8,1075083.09,19.4,4.7
12,639263.39,1448116.31,1016274.94,126.5,5.3
13,1539796.81,718766.03,478506.26,-53.3,-0.1
14,1262963.52,1861492.43,1284851.84,47.4,3.5
15,848156.56,1413345.93,1016735.63,66.6,7.9
16,1042746.82,1128278.92,696386.73,8.2,-7.4
17,1210168.23,1019391.88,592772.61,-15.8,-12.8
18,1057753.65,1186054.14,772604.94,12.1,-2.3
19,2752266.68,1228894.52,785531.49,-55.3,-4.1
22,2121314.55,2988829.68,2152276.77,40.9,8.0
25,1904678.37,2364922.92,1710068.6,24.2,8.5
26,1307747.91,1925396.77,1274989.05,47.2,-0.7
27,2576170.14,1358668.76,971067.16,-47.3,7.2
29,966389.3,2983813.35,2054287.24,208.8,3.3
30,938079.27,990627.64,582101.61,5.6,-11.9
31,930422.05,1544673.65,1088435.91,66.0,5.7
32,2475027.3,883678.92,599222.47,-64.3,1.7
33,1624057.32,2376862.55,1660347.18,46.4,4.8
34,602393.99,1760915.18,1277616.14,192.3,8.8
35,1705944.58,648082.44,342159.81,-62.0,-20.8
36,1192126.55,2207314.85,1631558.2,85.2,10.9
37,1664009.19,1260668.6,842080.92,-24.2,0.2
38,2144910.38,1560583.33,1190590.54,-27.2,14.4
39,659508.49,2138223.75,1476489.16,224.2,3.6
40,2416398.6,723254.52,451007.21,-70.1,-6.5
41,2057151.18,2172785.94,1518372.85,5.6,4.8
42,1672359.85,2322477.05,1567361.17,38.9,1.2
43,1932838.63,1850561.4,1321358.93,-4.3,7.1
45,1336897.65,2056065.58,1332885.9,53.8,-2.8
46,1094315.33,1107452.74,777981.83,1.2,5.4
47,814895.18,1174439.52,920283.92,44.1,17.5
48,868429.46,1008769.55,752451.89,16.2,11.9
49,436846.89,932986.02,746507.54,113.6,20.0
